time,observed_speed,target_speed,observed_distance
1711027913.782414,0.12188259996674602,0.25,0.019999999999999574
1711027913.813593,0.08267193165283258,0.25,0.019999999999999574
1711027913.876727,0.19752673715520952,0.25,0.02999999999999936
1711027913.922426,0.33571863911863364,0.25,0.02999999999999936
1711027913.984733,0.43216828522676115,0.25,0.02999999999999936
1711027914.015876,0.3804238817614888,0.25,0.02999999999999936
1711027914.078975,0.26279919804173285,0.25,0.02999999999999936
1711027914.125018,0.26279919804173285,0.25,0.02999999999999936
1711027914.140529,0.1421003595729322,0.25,0.02999999999999936
1711027914.171316,0.0889441707239066,0.25,0.02999999999999936
1711027914.233388,0.13848954481452364,0.25,0.02999999999999936
1711027914.280564,0.2774736406485263,0.25,0.040000000000000036
1711027914.327833,0.41518564185574375,0.25,0.040000000000000036
1711027914.375662,0.5042205390271572,0.25,0.040000000000000036
1711027914.439425,0.4476705193191248,0.25,0.040000000000000036
1711027914.471498,0.32591969862573356,0.25,0.040000000000000036
1711027914.518324,0.2053044399323445,0.25,0.040000000000000036
1711027914.580492,0.10579100903501185,0.25,0.040000000000000036
1711027914.627827,0.14288940997829888,0.25,0.040000000000000036
1711027914.674689,0.26569480468770934,0.25,0.040000000000000036
1711027914.722358,0.40370678087116074,0.25,0.040000000000000036
1711027914.769051,0.43717898924483023,0.25,0.040000000000000036
1711027914.8304,0.3916830189155293,0.25,0.040000000000000036
1711027914.876871,0.2705560087440442,0.25,0.040000000000000036
1711027914.938713,0.15029728310154025,0.25,0.040000000000000036
1711027914.970386,0.11137601787791718,0.25,0.040000000000000036
1711027915.03371,0.15420803463964863,0.25,0.040000000000000036
1711027915.08039,0.29365409151268007,0.25,0.03000000000000025
1711027915.127305,0.4313553761476642,0.25,0.03000000000000025
1711027915.172367,0.5143078612295234,0.25,0.03000000000000025
1711027915.235422,0.4138403316455317,0.25,0.019999999999999574
1711027915.266791,0.2928622091748612,0.25,0.009999999999999787
1711027915.329105,0.17293266862875,0.25,0.009999999999999787
1711027915.375929,0.10949710196276942,0.25,0.009999999999999787
1711027915.422484,0.22057998733603276,0.25,0.009999999999999787
1711027915.485229,0.3529259019988384,0.25,0.009999999999999787
1711027915.532821,0.4287234763198532,0.25,0.009999999999999787
1711027915.563395,0.4607822383533317,0.25,0.009999999999999787
1711027915.625561,0.33997586137899377,0.25,0.009999999999999787
1711027915.687476,0.21973547995279197,0.25,0.0
1711027915.718091,0.10805537699489114,0.25,0.0
1711027915.781897,0.12610301803097904,0.25,0.0
1711027915.829055,0.24530467659888358,0.25,0.0
1711027915.876346,0.3841699682697565,0.25,0.0
1711027915.923704,0.461818292110759,0.25,-0.009999999999999787
1711027915.986631,0.43677427361210897,0.25,-0.009999999999999787
1711027916.018267,0.31591845295856297,0.25,0.009999999999999787
1711027916.066309,0.19620413207984963,0.25,0.009999999999999787
1711027916.12795,0.1080952909921846,0.25,0.009999999999999787
1711027916.174661,0.15817991154205635,0.25,0.009999999999999787
1711027916.237525,0.2732604742570414,0.25,0.009999999999999787
1711027916.268259,0.4069150928853548,0.25,0.009999999999999787
1711027916.33038,0.43234781732624183,0.25,0.009999999999999787
1711027916.377372,0.34036368060309957,0.25,0.009999999999999787
1711027916.440388,0.22041841139507215,0.25,0.009999999999999787
1711027916.472421,0.10704648183874237,0.25,0.009999999999999787
1711027916.536552,0.12464618132790818,0.25,0.009999999999999787
1711027916.56779,0.24399146355111426,0.25,0.009999999999999787
1711027916.614105,0.38312995363875024,0.25,0.0
